GNAF_PID,ADDRESS_LABEL,LOCALITY_NAME,STATE,POSTCODE,LATITUDE,LONGITUDE
GNAF_001,"1475 Pakenham Road, MOUNT BURNETT VIC 3781",MOUNT BURNETT,VIC,3781,-37.9500,145.5500
GNAF_002,"3 Casuarina Place, NARELLAN VALE NSW 2567",NARELLAN VALE,NSW,2567,-34.0500,150.7500
GNAF_003,"123 George Street, SYDNEY NSW 2000",SYDNEY,NSW,2000,-33.8675,151.2070
GNAF_004,"1 Smith Street, PARRAMATTA NSW 2150",PARRAMATTA,NSW,2150,-33.8150,151.0011
GNAF_005,"10 Church Street, PARRAMATTA NSW 2150",PARRAMATTA,NSW,2150,-33.8155,151.0020
GNAF_006,"20 Macquarie Street, PARRAMATTA NSW 2150",PARRAMATTA,NSW,2150,-33.8160,151.0030
GNAF_007,"50 Miller Street, NORTH SYDNEY NSW 2060",NORTH SYDNEY,NSW,2060,-33.8390,151.2072
GNAF_008,"100 Pacific Highway, NORTH SYDNEY NSW 2060",NORTH SYDNEY,NSW,2060,-33.8400,151.2080
GNAF_009,"15 Blue Street, NORTH SYDNEY NSW 2060",NORTH SYDNEY,NSW,2060,-33.8380,151.2060
GNAF_010,"80 Walker Street, NORTH SYDNEY NSW 2060",NORTH SYDNEY,NSW,2060,-33.8370,151.2090
GNAF_011,"1 Elizabeth Street, MELBOURNE VIC 3000",MELBOURNE,VIC,3000,-37.8136,144.9631
GNAF_012,"200 Collins Street, MELBOURNE VIC 3000",MELBOURNE,VIC,3000,-37.8150,144.9660
GNAF_013,"500 Bourke Street, MELBOURNE VIC 3000",MELBOURNE,VIC,3000,-37.8160,144.9600
GNAF_014,"1 Queen Street, BRISBANE CITY QLD 4000",BRISBANE CITY,QLD,4000,-27.4700,153.0200
GNAF_015,"100 Adelaide Street, BRISBANE CITY QLD 4000",BRISBANE CITY,QLD,4000,-27.4680,153.0250
GNAF_016,"1 St Georges Terrace, PERTH WA 6000",PERTH,WA,6000,-31.9505,115.8605
GNAF_017,"50 William Street, PERTH WA 6000",PERTH,WA,6000,-31.9520,115.8580
GNAF_018,"1 North Terrace, ADELAIDE SA 5000",ADELAIDE,SA,5000,-34.9285,138.6007
GNAF_019,"100 King William Street, ADELAIDE SA 5000",ADELAIDE,SA,5000,-34.9290,138.6010
GNAF_020,"1 Hobart Place, CANBERRA ACT 2601",CANBERRA,ACT,2601,-35.2809,149.1300
GNAF_021,"22 Ballarat Street, FISHER ACT 2611",FISHER,ACT,2611,-35.3635,149.0547
GNAF_022,"719 La Trobe Street, BALLARAT VIC 3350",BALLARAT,VIC,3350,-37.5633,143.8637
GNAF_023,"Lot 20 Hains Close, BALLARAT VIC 3350",BALLARAT,VIC,3350,-37.5600,143.8600
GNAF_024,"13b Slatey Creek Road North, BALLARAT VIC 3350",BALLARAT,VIC,3350,-37.5500,143.8500
GNAF_025,"37 Oshannassy Parade, BALLARAT VIC 3350",BALLARAT,VIC,3350,-37.5400,143.8400
GNAF_026,"1 Sturt Street, BALLARAT CENTRAL VIC 3350",BALLARAT CENTRAL,VIC,3350,-37.5622,143.8588
